customer_id,total_revenue,total_profit,total_orders,total_quantity,first_order,last_order,lifetime_days,lifetime_months,avg_order_value,purchase_frequency,profit_margin,estimated_clv
CUST00584,45855.91,16475.69,1,5,2024-08-22,2024-08-22,0,0.0,45855.91,1.0,35.93,16475.69
CUST00791,35032.74,12870.54,2,9,2025-02-06,2025-03-02,24,0.79,17516.37,2.53,36.74,16291.82
CUST01516,21546.06,5747.44,2,2,2024-05-07,2024-05-18,11,0.36,10773.03,5.56,26.68,15965.11
CUST01045,33311.25,15925.71,1,5,2024-08-01,2024-08-01,0,0.0,33311.25,1.0,47.81,15925.71
CUST01447,136638.79,39958.18,3,7,2024-01-30,2024-04-17,78,2.56,45546.26,1.17,29.24,15608.66
CUST00938,67919.74,20849.83,2,5,2024-06-16,2024-07-27,41,1.35,33959.87,1.48,30.7,15444.32
CUST00981,59300.53,13741.44,2,5,2025-03-20,2025-04-16,27,0.89,29650.26,2.25,23.17,15439.82
CUST00345,78822.29,22638.78,4,13,2024-05-14,2024-06-28,45,1.48,19705.57,2.7,28.72,15296.47
CUST00662,20780.68,8327.25,2,8,2024-09-16,2024-10-03,17,0.56,10390.34,3.57,40.07,14870.09
CUST00497,73313.67,33326.14,3,9,2024-01-25,2024-04-03,69,2.27,24437.89,1.32,45.46,14681.12
CUST00001,42295.37,14486.63,1,2,2024-12-04,2024-12-04,0,0.0,42295.37,1.0,34.25,14486.63
CUST01192,43521.95,14102.01,1,5,2024-12-10,2024-12-10,0,0.0,43521.95,1.0,32.4,14102.01
CUST01168,18179.63,6441.06,2,7,2025-01-28,2025-02-11,14,0.46,9089.82,4.35,35.43,14002.3
CUST01151,74983.04,32502.18,2,7,2024-12-31,2025-03-13,72,2.37,37491.52,0.84,43.35,13714.0
CUST00505,59338.96,13403.32,1,4,2024-05-24,2024-05-24,0,0.0,59338.96,1.0,22.59,13403.32
CUST00423,34218.35,13369.56,1,4,2024-08-05,2024-08-05,0,0.0,34218.35,1.0,39.07,13369.56
CUST00152,38335.82,12874.3,1,5,2024-07-15,2024-07-15,0,0.0,38335.82,1.0,33.58,12874.3
CUST01558,33277.82,13811.47,2,5,2024-03-16,2024-04-18,33,1.08,16638.91,1.85,41.5,12788.4
CUST00831,31477.42,11564.55,2,6,2025-03-04,2025-04-01,28,0.92,15738.71,2.17,36.74,12570.16
CUST01574,36740.61,12390.91,1,5,2025-05-17,2025-05-17,0,0.0,36740.61,1.0,33.73,12390.91
CUST01125,70720.19,31609.4,2,7,2024-01-01,2024-03-19,78,2.56,35360.1,0.78,44.7,12347.42
CUST00885,21345.86,8516.56,2,6,2024-04-10,2024-05-01,21,0.69,10672.93,2.9,39.9,12342.84
CUST00868,42671.81,10899.04,2,6,2025-05-07,2025-06-03,27,0.89,21335.9,2.25,25.54,12246.11
CUST01243,26138.66,11972.45,1,5,2024-06-13,2024-06-13,0,0.0,26138.66,1.0,45.8,11972.45
CUST00482,93884.22,34566.1,2,8,2024-03-13,2024-06-09,88,2.89,46942.11,0.69,36.82,11960.59
CUST01133,41072.82,11812.81,1,5,2024-10-30,2024-10-30,0,0.0,41072.82,1.0,28.76,11812.81
CUST00616,27058.25,8130.74,2,7,2024-01-22,2024-02-12,21,0.69,13529.12,2.9,30.05,11783.68
CUST01383,141916.23,56690.14,4,13,2024-03-23,2024-08-19,149,4.89,35479.06,0.82,39.95,11593.08
CUST00964,27075.56,11450.01,1,3,2025-04-13,2025-04-13,0,0.0,27075.56,1.0,42.29,11450.01
CUST01120,40001.72,15723.26,2,7,2024-10-11,2024-11-22,42,1.38,20000.86,1.45,39.31,11393.67
CUST01548,28021.55,11302.44,1,3,2025-06-16,2025-06-16,0,0.0,28021.55,1.0,40.33,11302.44
CUST00376,26922.46,11234.15,1,5,2024-07-15,2024-07-15,0,0.0,26922.46,1.0,41.73,11234.15
CUST00012,48430.66,16566.6,2,4,2024-10-18,2024-12-02,45,1.48,24215.33,1.35,34.21,11193.65
CUST00734,98873.61,38597.63,3,12,2024-04-09,2024-07-23,105,3.45,32957.87,0.87,39.04,11187.72
CUST00483,19381.49,5481.7,2,8,2025-04-15,2025-04-30,15,0.49,9690.74,4.08,28.28,11187.14
CUST00335,24664.72,11144.18,1,2,2024-04-29,2024-04-29,0,0.0,24664.72,1.0,45.18,11144.18
CUST00847,47509.57,12435.03,2,7,2024-05-31,2024-07-04,34,1.12,23754.78,1.79,26.17,11102.71
CUST01226,63195.21,26283.99,2,9,2024-02-08,2024-04-20,72,2.37,31597.6,0.84,41.59,11090.29
CUST01077,26127.58,10897.46,1,2,2025-03-05,2025-03-05,0,0.0,26127.58,1.0,41.71,10897.46
CUST00669,88689.25,33953.11,2,6,2024-08-04,2024-11-07,95,3.12,44344.62,0.64,38.28,10882.41
CUST00881,24465.16,10827.67,1,5,2025-04-13,2025-04-13,0,0.0,24465.16,1.0,44.26,10827.67
CUST00788,25162.16,10727.24,1,5,2024-10-11,2024-10-11,0,0.0,25162.16,1.0,42.63,10727.24
CUST00216,23386.49,10597.34,1,5,2024-03-16,2024-03-16,0,0.0,23386.49,1.0,45.31,10597.34
CUST01285,28821.88,10572.26,1,4,2025-03-05,2025-03-05,0,0.0,28821.88,1.0,36.68,10572.26
CUST01580,52605.8,20024.7,2,5,2025-03-07,2025-05-04,58,1.91,26302.9,1.05,38.07,10484.14
CUST01098,33488.5,10329.44,1,4,2024-12-09,2024-12-09,0,0.0,33488.5,1.0,30.84,10329.44
CUST00021,16497.26,6386.9,2,6,2025-03-11,2025-03-30,19,0.62,8248.63,3.23,38.71,10301.45
CUST00822,25874.98,10224.45,1,2,2024-02-25,2024-02-25,0,0.0,25874.98,1.0,39.51,10224.45
CUST00467,46668.12,9069.86,2,4,2025-03-14,2025-04-10,27,0.89,23334.06,2.25,19.43,10190.85
CUST01541,39449.23,10825.56,2,7,2025-04-10,2025-05-13,33,1.08,19724.62,1.85,27.44,10023.67
CUST01165,65685.54,26560.47,2,5,2025-02-08,2025-04-30,81,2.66,32842.77,0.75,40.44,9985.14
CUST00914,38333.32,12497.12,3,12,2025-01-01,2025-02-09,39,1.28,12777.77,2.34,32.6,9763.38
CUST01499,42272.07,9671.07,1,5,2024-02-13,2024-02-13,0,0.0,42272.07,1.0,22.88,9671.07
CUST01494,88172.73,37906.12,3,10,2024-09-14,2025-01-12,120,3.94,29390.91,0.76,42.99,9620.84
CUST01169,72293.35,27143.69,2,7,2024-11-09,2025-02-03,86,2.83,36146.68,0.71,37.55,9591.41
CUST00484,80810.85,29852.53,2,8,2024-07-21,2024-10-24,95,3.12,40405.42,0.64,36.94,9568.12
CUST00099,23507.24,9551.9,1,5,2024-07-21,2024-07-21,0,0.0,23507.24,1.0,40.63,9551.9
CUST00420,35876.38,9500.17,1,4,2025-05-23,2025-05-23,0,0.0,35876.38,1.0,26.48,9500.17
CUST01515,63369.12,18122.71,2,6,2024-06-01,2024-07-29,58,1.91,31684.56,1.05,28.6,9488.33
CUST01242,93106.84,31512.47,3,12,2024-01-24,2024-05-05,102,3.35,31035.61,0.9,33.85,9406.71
CUST00697,13090.71,4935.42,2,6,2025-01-22,2025-02-07,16,0.53,6545.36,3.77,37.7,9312.11
CUST00730,151103.81,58647.44,3,12,2024-06-25,2025-01-03,192,6.31,50367.94,0.48,38.81,9294.36
CUST01292,91971.54,40441.86,3,9,2024-10-24,2025-03-06,133,4.37,30657.18,0.69,43.97,9254.43
CUST00974,89011.36,29786.39,2,6,2024-02-13,2024-05-21,98,3.22,44505.68,0.62,33.46,9250.43
CUST01369,128406.45,49165.27,4,11,2024-12-07,2025-05-18,162,5.32,32101.61,0.75,38.29,9241.59
CUST00220,105185.31,44381.59,4,10,2025-01-26,2025-06-22,147,4.83,26296.33,0.83,42.19,9188.73
CUST00183,37125.9,9174.46,1,5,2024-08-27,2024-08-27,0,0.0,37125.9,1.0,24.71,9174.46
CUST01149,22296.61,9119.86,1,3,2025-05-18,2025-05-18,0,0.0,22296.61,1.0,40.9,9119.86
CUST00059,38364.26,9097.26,1,5,2024-10-22,2024-10-22,0,0.0,38364.26,1.0,23.71,9097.26
CUST01008,19439.37,9097.21,1,1,2024-04-20,2024-04-20,0,0.0,19439.37,1.0,46.8,9097.21
CUST01052,133931.59,57652.76,6,19,2024-04-21,2024-10-31,193,6.34,22321.93,0.95,43.05,9093.5
CUST00346,92472.69,18365.02,2,7,2024-07-07,2024-09-07,62,2.04,46236.34,0.98,19.86,9002.46
CUST00116,19052.79,8930.86,1,3,2025-03-10,2025-03-10,0,0.0,19052.79,1.0,46.87,8930.86
CUST00241,18585.06,8834.13,1,5,2024-10-14,2024-10-14,0,0.0,18585.06,1.0,47.53,8834.13
CUST00197,48340.67,8815.36,1,3,2025-06-23,2025-06-23,0,0.0,48340.67,1.0,18.24,8815.36
CUST00317,19250.19,7189.08,2,5,2025-01-29,2025-02-23,25,0.82,9625.09,2.44,37.35,8767.17
CUST01412,26201.41,8720.18,1,2,2024-02-27,2024-02-27,0,0.0,26201.41,1.0,33.28,8720.18
CUST00887,39339.5,8714.97,1,2,2024-11-02,2024-11-02,0,0.0,39339.5,1.0,22.15,8714.97
CUST01578,31153.48,8682.64,1,5,2024-01-27,2024-01-27,0,0.0,31153.48,1.0,27.87,8682.64
CUST00409,228679.18,81342.77,5,18,2024-06-01,2025-03-16,288,9.46,45735.84,0.53,35.57,8598.6
CUST01309,75771.71,27629.03,3,14,2024-11-05,2025-02-12,99,3.25,25257.24,0.92,36.46,8501.24
CUST00358,106661.36,39198.11,3,11,2024-07-05,2024-11-23,141,4.63,35553.79,0.65,36.75,8466.11
CUST00419,59525.99,26996.34,2,5,2025-02-15,2025-05-24,98,3.22,29763.0,0.62,45.35,8383.96
CUST01419,22163.79,8363.61,1,5,2024-03-11,2024-03-11,0,0.0,22163.79,1.0,37.74,8363.61
CUST00812,19672.96,8349.75,1,3,2024-11-27,2024-11-27,0,0.0,19672.96,1.0,42.44,8349.75
CUST00452,43117.25,12578.16,2,10,2024-04-20,2024-06-05,46,1.51,21558.62,1.32,29.17,8329.91
CUST00959,91439.93,34300.19,2,8,2024-08-30,2025-01-03,126,4.14,45719.96,0.48,37.51,8285.07
CUST01207,64172.66,22093.25,3,10,2024-01-01,2024-03-23,82,2.69,21390.89,1.12,34.43,8213.1
CUST00574,33896.07,8175.58,1,5,2024-08-05,2024-08-05,0,0.0,33896.07,1.0,24.12,8175.58
CUST00804,43388.57,15257.84,2,5,2025-01-20,2025-03-18,57,1.87,21694.28,1.07,35.17,8159.27
CUST00602,38523.48,10437.45,2,5,2024-03-13,2024-04-21,39,1.28,19261.74,1.56,27.09,8154.26
CUST00060,19346.43,8133.32,1,5,2025-02-05,2025-02-05,0,0.0,19346.43,1.0,42.04,8133.32
CUST01443,17836.12,7448.92,2,4,2024-06-06,2024-07-04,28,0.92,8918.06,2.17,41.76,8096.65
CUST00678,112345.94,43625.98,3,8,2024-09-25,2025-03-08,164,5.39,37448.65,0.56,38.83,8093.87
CUST00808,17312.41,8091.12,1,1,2025-01-16,2025-01-16,0,0.0,17312.41,1.0,46.74,8091.12
CUST00128,27445.15,8072.13,1,5,2024-08-23,2024-08-23,0,0.0,27445.15,1.0,29.41,8072.13
CUST00361,49140.06,23261.34,3,9,2024-02-21,2024-05-19,88,2.89,16380.02,1.04,47.34,8048.91
CUST00461,70575.15,24180.1,2,9,2024-10-09,2025-01-09,92,3.02,35287.57,0.66,34.26,8006.66
CUST00916,41408.63,7958.32,1,5,2024-03-24,2024-03-24,0,0.0,41408.63,1.0,19.22,7958.32
CUST00531,24564.11,7941.43,1,2,2024-08-19,2024-08-19,0,0.0,24564.11,1.0,32.33,7941.43
CUST00341,31773.03,7862.34,1,2,2024-01-19,2024-01-19,0,0.0,31773.03,1.0,24.75,7862.34
CUST00852,107850.71,26730.03,5,17,2025-02-05,2025-05-20,104,3.42,21570.14,1.46,24.78,7815.8
CUST01382,82180.7,31078.46,2,8,2024-01-19,2024-05-19,121,3.98,41090.35,0.5,37.82,7808.66
CUST00722,56740.65,23578.44,3,9,2024-03-06,2024-06-06,92,3.02,18913.55,0.99,41.55,7807.43
CUST00405,55704.8,12650.66,2,9,2024-07-02,2024-08-21,50,1.64,27852.4,1.22,22.71,7713.82
CUST01068,21689.77,6554.3,2,10,2024-11-25,2024-12-21,26,0.85,10844.88,2.35,30.22,7710.94
CUST00950,16146.54,7614.18,1,3,2024-10-07,2024-10-07,0,0.0,16146.54,1.0,47.16,7614.18
CUST00714,17511.44,7591.59,1,2,2024-01-22,2024-01-22,0,0.0,17511.44,1.0,43.35,7591.59
CUST00530,19616.62,7533.36,1,4,2024-05-12,2024-05-12,0,0.0,19616.62,1.0,38.4,7533.36
CUST01097,143676.91,43047.19,6,16,2024-02-22,2024-08-15,175,5.75,23946.15,1.04,29.96,7486.47
CUST01437,11988.46,4404.13,2,5,2024-06-10,2024-06-28,18,0.59,5994.23,3.39,36.74,7464.63
CUST01377,134405.04,32849.24,4,12,2024-10-05,2025-02-17,135,4.43,33601.26,0.9,24.44,7415.18
CUST01197,109739.44,31611.73,2,8,2024-08-27,2025-01-05,131,4.3,54869.72,0.47,28.81,7351.57
CUST01421,18726.48,7295.94,1,5,2025-06-26,2025-06-26,0,0.0,18726.48,1.0,38.96,7295.94
CUST01034,20711.47,7648.83,2,7,2024-09-20,2024-10-22,32,1.05,10355.74,1.9,36.93,7284.6
CUST01367,10457.83,1888.32,2,2,2025-05-08,2025-05-16,8,0.26,5228.92,7.69,18.06,7262.77
CUST00378,15753.02,7257.85,1,3,2025-01-06,2025-01-06,0,0.0,15753.02,1.0,46.07,7257.85
CUST00418,55876.6,18822.16,2,9,2024-11-24,2025-02-11,79,2.6,27938.3,0.77,33.69,7239.29
CUST01231,104511.51,24816.75,2,8,2024-02-14,2024-05-29,105,3.45,52255.76,0.58,23.75,7193.26
CUST01310,164156.35,64425.45,5,20,2024-09-17,2025-06-17,273,8.97,32831.27,0.56,39.25,7182.32
CUST00093,75282.18,20664.83,3,10,2024-05-16,2024-08-12,88,2.89,25094.06,1.04,27.45,7150.46
CUST00491,17198.7,7147.01,1,5,2024-08-15,2024-08-15,0,0.0,17198.7,1.0,41.56,7147.01
CUST01345,107321.22,42479.59,2,10,2024-05-08,2024-11-05,181,5.95,53660.61,0.34,39.58,7139.43
CUST00735,20131.49,7088.78,1,5,2024-02-01,2024-02-01,0,0.0,20131.49,1.0,35.21,7088.78
CUST01569,59731.74,24152.9,2,6,2025-02-03,2025-05-18,104,3.42,29865.87,0.58,40.44,7062.25
CUST00699,18812.61,7052.06,1,1,2024-10-08,2024-10-08,0,0.0,18812.61,1.0,37.49,7052.06
CUST00247,61446.65,19096.41,3,5,2024-02-27,2024-05-20,83,2.73,20482.22,1.1,31.08,6995.02
CUST00269,49738.72,10632.02,2,7,2024-02-19,2024-04-06,47,1.54,24869.36,1.3,21.38,6903.91
CUST00084,23112.61,6900.04,1,3,2025-05-01,2025-05-01,0,0.0,23112.61,1.0,29.85,6900.04
CUST00821,18626.29,6880.07,1,5,2025-04-10,2025-04-10,0,0.0,18626.29,1.0,36.94,6880.07
CUST01009,47848.62,22214.73,3,11,2024-06-29,2024-10-06,99,3.25,15949.54,0.92,46.43,6835.3
CUST00839,164057.7,66246.57,4,17,2024-06-11,2025-04-03,296,9.72,41014.43,0.41,40.38,6815.49
CUST00314,15379.61,3811.49,2,4,2025-05-12,2025-05-29,17,0.56,7689.8,3.57,24.78,6806.23
CUST01156,255597.7,81616.92,7,28,2024-04-17,2025-04-18,366,12.02,36513.96,0.58,31.93,6790.09
CUST00231,35905.47,6766.82,1,2,2024-08-09,2024-08-09,0,0.0,35905.47,1.0,18.85,6766.82
CUST01237,32852.2,6754.96,1,3,2024-04-03,2024-04-03,0,0.0,32852.2,1.0,20.56,6754.96
CUST01470,33019.31,10815.3,3,12,2024-07-13,2024-08-31,49,1.61,11006.44,1.86,32.75,6717.58
CUST01272,167705.74,49880.45,3,15,2024-07-10,2025-02-22,227,7.46,55901.91,0.4,29.74,6686.39
CUST00893,96077.04,30879.79,3,12,2024-05-17,2024-10-06,142,4.66,32025.68,0.64,32.14,6626.56
CUST00302,125202.85,32512.11,3,11,2024-03-04,2024-08-02,151,4.96,41734.28,0.6,25.97,6554.86
CUST01393,18799.64,6535.66,1,5,2025-01-23,2025-01-23,0,0.0,18799.64,1.0,34.76,6535.66
CUST01504,45119.08,19534.12,3,8,2024-12-24,2025-03-25,91,2.99,15039.69,1.0,43.29,6533.15
CUST01004,12990.97,4687.33,2,7,2024-04-09,2024-05-01,22,0.72,6495.48,2.78,36.08,6510.18
CUST00023,26672.8,9934.78,2,8,2024-02-29,2024-04-16,47,1.54,13336.4,1.3,37.25,6451.16
CUST00864,89619.71,27348.27,2,5,2024-03-06,2024-07-13,129,4.24,44809.86,0.47,30.52,6450.06
CUST01298,52023.4,15004.57,2,6,2024-12-04,2025-02-13,71,2.33,26011.7,0.86,28.84,6439.73
CUST00119,18697.52,6372.79,1,1,2024-12-30,2024-12-30,0,0.0,18697.52,1.0,34.08,6372.79
CUST01203,17317.23,6362.39,1,4,2024-02-06,2024-02-06,0,0.0,17317.23,1.0,36.74,6362.39
CUST01278,111782.71,42061.89,3,14,2024-03-06,2024-09-24,202,6.64,37260.9,0.45,37.63,6334.62
CUST01410,73661.76,19355.4,4,17,2024-01-27,2024-04-29,93,3.06,18415.44,1.31,26.28,6325.29
CUST01461,20336.23,5812.87,2,8,2025-03-14,2025-04-11,28,0.92,10168.12,2.17,28.58,6318.34
CUST01253,92676.1,40473.74,3,10,2024-09-28,2025-04-13,197,6.47,30892.03,0.46,43.67,6255.6
CUST00320,20717.32,7368.07,2,5,2025-03-07,2025-04-12,36,1.18,10358.66,1.69,35.56,6244.13
CUST00319,223128.01,79595.29,7,26,2024-03-11,2025-04-03,388,12.75,31875.43,0.55,35.67,6242.77
CUST01550,16188.72,6241.91,1,4,2024-08-19,2024-08-19,0,0.0,16188.72,1.0,38.56,6241.91
CUST00849,108699.68,46407.07,4,12,2024-11-15,2025-06-30,227,7.46,27174.92,0.54,42.69,6220.79
CUST00920,56490.56,25710.45,2,5,2024-08-04,2024-12-08,126,4.14,28245.28,0.48,45.51,6210.25
CUST00473,92156.87,27962.27,3,11,2024-06-04,2024-10-21,139,4.57,30718.96,0.66,30.34,6118.66
CUST01233,16484.04,6109.59,1,4,2024-08-05,2024-08-05,0,0.0,16484.04,1.0,37.06,6109.59
CUST01140,34017.27,6014.26,1,3,2024-10-23,2024-10-23,0,0.0,34017.27,1.0,17.68,6014.26
CUST00104,17098.7,5997.51,1,4,2025-02-07,2025-02-07,0,0.0,17098.7,1.0,35.08,5997.51
CUST01463,67829.1,23613.38,4,16,2024-09-15,2025-01-14,121,3.98,16957.28,1.01,34.81,5933.01
CUST01349,68177.26,21624.91,2,5,2024-03-10,2024-06-29,111,3.65,34088.63,0.55,31.72,5924.63
CUST00708,93258.52,21449.55,3,11,2025-03-06,2025-06-25,111,3.65,31086.17,0.82,23.0,5876.59
CUST01214,98740.36,41391.74,3,7,2024-05-26,2025-01-01,220,7.23,32913.45,0.41,41.92,5725.0
CUST00592,20265.97,6736.84,3,8,2024-12-07,2025-01-12,36,1.18,6755.32,2.54,33.24,5709.19
CUST00832,39436.75,14815.06,3,8,2024-11-12,2025-01-30,79,2.6,13145.58,1.15,37.57,5698.1
CUST01417,38046.76,11134.31,2,7,2024-09-24,2024-11-23,60,1.97,19023.38,1.02,29.26,5651.93
CUST00145,17610.19,7566.48,2,6,2024-12-05,2025-01-15,41,1.35,8805.1,1.48,42.97,5604.8
CUST00934,78684.4,17865.11,4,14,2024-09-05,2024-12-12,98,3.22,19671.1,1.24,22.7,5548.17
CUST01407,56204.29,22575.81,2,9,2024-11-01,2025-03-05,124,4.07,28102.14,0.49,40.17,5546.88
CUST00892,184634.71,53181.07,3,14,2024-07-08,2025-04-26,292,9.59,61544.9,0.31,28.8,5545.47
CUST01472,38826.1,10591.81,3,5,2025-04-26,2025-06-24,59,1.94,12942.03,1.55,27.28,5459.7
CUST01497,84517.67,23219.69,3,10,2024-03-09,2024-07-17,130,4.27,28172.56,0.7,27.47,5437.87
CUST00673,26429.68,5401.15,1,5,2024-08-16,2024-08-16,0,0.0,26429.68,1.0,20.44,5401.15
CUST00757,13493.47,4968.07,2,5,2025-02-14,2025-03-14,28,0.92,6746.74,2.17,36.82,5400.08
CUST01187,136339.13,55286.81,5,20,2024-02-05,2024-12-14,313,10.28,27267.83,0.49,40.55,5378.09
CUST00799,78103.0,19247.23,2,8,2024-09-08,2024-12-26,109,3.58,39051.5,0.56,24.64,5376.32
CUST01549,14997.63,5338.67,1,2,2025-04-07,2025-04-07,0,0.0,14997.63,1.0,35.6,5338.67
CUST00597,11042.53,5286.56,1,5,2024-09-29,2024-09-29,0,0.0,11042.53,1.0,47.87,5286.56
CUST01522,14755.38,5279.18,1,1,2024-05-03,2024-05-03,0,0.0,14755.38,1.0,35.78,5279.18
CUST00599,144320.58,44174.25,6,21,2024-05-22,2025-02-01,255,8.38,24053.43,0.72,30.61,5271.39
CUST01240,82298.92,32856.43,2,9,2024-05-18,2024-11-24,190,6.24,41149.46,0.32,39.92,5265.45
CUST01500,97812.1,46552.97,2,8,2024-08-08,2025-05-08,273,8.97,48906.05,0.22,47.59,5189.85
CUST00654,13746.93,5179.47,1,4,2025-02-14,2025-02-14,0,0.0,13746.93,1.0,37.68,5179.47
CUST01244,48895.06,15256.67,2,6,2024-01-11,2024-04-10,90,2.96,24447.53,0.68,31.2,5154.28
CUST01190,22074.09,5143.63,1,3,2024-12-27,2024-12-27,0,0.0,22074.09,1.0,23.3,5143.63
CUST00295,94593.58,42168.68,2,8,2024-03-27,2024-12-02,250,8.21,47296.79,0.24,44.58,5136.26
CUST01135,56708.31,23092.81,2,7,2024-09-10,2025-01-25,137,4.5,28354.16,0.44,40.72,5131.74
CUST01141,27610.31,8104.12,2,5,2025-04-23,2025-06-10,48,1.58,13805.16,1.27,29.35,5129.19
CUST01420,70238.57,31482.02,2,10,2024-06-25,2024-12-31,189,6.21,35119.29,0.32,44.82,5069.57
CUST01338,20951.77,7800.69,2,7,2024-04-30,2024-06-16,47,1.54,10475.88,1.3,37.23,5065.38
CUST00906,13946.15,5059.98,1,2,2024-05-06,2024-05-06,0,0.0,13946.15,1.0,36.28,5059.98
CUST00266,12415.77,5153.15,2,3,2024-07-13,2024-08-13,31,1.02,6207.88,1.96,41.5,5052.11
