order_id,order_date,customer_id,category,product,region,city,channel,quantity,unit_price,discount,gross_sales,revenue,cost,payment_method,order_status,profit,profit_margin,month,year,quarter,is_completed,is_returned,is_cancelled
ORD000011,2024-03-14,CUST00645,Beauty,Moisturizer,West,Mumbai,Website,1,389.6,0.1,389.6,350.64,278.5,Cash on Delivery,Delivered,72.14,0.2057,2024-03,2024,Q1,1,0,0
ORD000012,2025-03-23,CUST00206,Fashion,Backpack,West,Pune,Mobile App,3,470.14,0.0,1410.41,1410.41,983.8,Credit Card,Delivered,426.61,0.3025,2025-03,2025,Q1,1,0,0
ORD000013,2025-03-01,CUST00510,Fashion,Sunglasses,South,Hyderabad,Mobile App,5,912.82,0.1,4564.09,4107.68,3213.39,Credit Card,Delivered,894.29,0.2177,2025-03,2025,Q1,1,0,0
ORD000014,2024-09-13,CUST01424,Sports,Resistance Bands,West,Ahmedabad,Mobile App,1,4726.08,0.15,4726.08,4017.17,3171.61,Credit Card,Delivered,845.56,0.2105,2024-09,2024,Q3,1,0,0
ORD000015,2024-01-02,CUST00565,Fashion,T-Shirt,North,Jaipur,Website,2,1425.92,0.0,2851.84,2851.84,1818.5,Net Banking,Delivered,1033.34,0.3623,2024-01,2024,Q1,1,0,0
ORD000016,2024-06-01,CUST00382,Sports,Dumbbells,East,Kolkata,Mobile App,4,1329.77,0.15,5319.07,4521.21,2962.94,Cash on Delivery,Delivered,1558.27,0.3447,2024-06,2024,Q2,1,0,0
ORD000017,2024-09-20,CUST01251,Fashion,Denim Jacket,South,Chennai,Mobile App,2,524.07,0.25,1048.14,786.11,416.44,Credit Card,Delivered,369.67,0.4703,2024-09,2024,Q3,1,0,0
ORD000018,2025-01-11,CUST01533,Electronics,Wireless Headphones,East,Bhubaneswar,Website,1,2737.04,0.2,2737.04,2189.63,1256.2,Net Banking,Returned,933.43,0.4263,2025-01,2025,Q1,0,1,0
ORD000019,2024-03-13,CUST01568,Fashion,Running Shoes,Central,Nagpur,Website,4,3567.2,0.15,14268.82,12128.49,6615.87,Credit Card,Delivered,5512.62,0.4545,2024-03,2024,Q1,1,0,0
ORD000020,2025-02-10,CUST00924,Electronics,Laptop Stand,East,Bhubaneswar,Website,3,11572.31,0.2,34716.94,27773.55,16023.46,Cash on Delivery,Delivered,11750.09,0.4231,2025-02,2025,Q1,1,0,0
ORD000021,2025-04-22,CUST01192,Beauty,Sunscreen,North,Jaipur,Marketplace,3,2356.68,0.0,7070.03,7070.03,4156.36,Cash on Delivery,Cancelled,2913.67,0.4121,2025-04,2025,Q2,0,0,1
ORD000022,2025-01-17,CUST00667,Electronics,Smartwatch,South,Chennai,Website,4,7060.61,0.05,28242.45,26830.33,21843.16,UPI,Delivered,4987.17,0.1859,2025-01,2025,Q1,1,0,0
ORD000023,2025-05-20,CUST00852,Home & Kitchen,Mixer Grinder,West,Pune,Marketplace,5,3452.53,0.1,17262.67,15536.4,12930.42,Debit Card,Delivered,2605.98,0.1677,2025-05,2025,Q2,1,0,0
ORD000024,2024-10-28,CUST00912,Electronics,Wireless Headphones,Central,Bhopal,Mobile App,4,8871.13,0.05,35484.52,33710.29,24852.09,Debit Card,Delivered,8858.2,0.2628,2024-10,2024,Q4,1,0,0
ORD000025,2024-05-31,CUST00776,Beauty,Face Serum,Central,Nagpur,Website,3,269.79,0.1,809.36,728.42,396.58,UPI,Delivered,331.84,0.4556,2024-05,2024,Q2,1,0,0
ORD000026,2024-01-05,CUST01466,Sports,Yoga Mat,North,Delhi,Mobile App,2,5309.35,0.05,10618.71,10087.77,8260.13,Cash on Delivery,Pending,1827.64,0.1812,2024-01,2024,Q1,0,0,0
ORD000027,2024-08-26,CUST01257,Sports,Resistance Bands,South,Chennai,Mobile App,2,1803.45,0.1,3606.89,3246.21,1705.13,Cash on Delivery,Cancelled,1541.08,0.4747,2024-08,2024,Q3,0,0,1
ORD000028,2025-02-26,CUST01180,Electronics,Wireless Headphones,Central,Nagpur,Website,1,13501.52,0.0,13501.52,13501.52,7489.34,Debit Card,Delivered,6012.18,0.4453,2025-02,2025,Q1,1,0,0
ORD000029,2025-01-17,CUST01116,Beauty,Lip Balm,North,Delhi,Mobile App,1,2663.07,0.15,2663.07,2263.61,1889.53,Net Banking,Delivered,374.08,0.1653,2025-01,2025,Q1,1,0,0
ORD000030,2024-05-12,CUST00690,Home & Kitchen,Storage Box,Central,Indore,Mobile App,1,5221.71,0.0,5221.71,5221.71,2927.29,Cash on Delivery,Delivered,2294.42,0.4394,2024-05,2024,Q2,1,0,0
ORD000031,2025-02-03,CUST00854,Beauty,Moisturizer,North,Jaipur,Website,3,1096.34,0.1,3289.01,2960.11,1910.42,UPI,Delivered,1049.69,0.3546,2025-02,2025,Q1,1,0,0
ORD000032,2024-09-24,CUST01417,Electronics,Laptop Stand,East,Patna,Website,4,5217.94,0.05,20871.74,19828.15,13646.71,Net Banking,Delivered,6181.44,0.3118,2024-09,2024,Q3,1,0,0
ORD000033,2025-06-08,CUST01131,Beauty,Sunscreen,South,Hyderabad,Marketplace,4,2293.43,0.05,9173.72,8715.03,5853.81,Debit Card,Cancelled,2861.22,0.3283,2025-06,2025,Q2,0,0,1
ORD000034,2024-10-29,CUST01092,Home & Kitchen,Water Bottle,South,Hyderabad,Marketplace,3,4316.01,0.15,12948.02,11005.82,7361.93,Cash on Delivery,Pending,3643.89,0.3311,2024-10,2024,Q4,0,0,0
ORD000035,2024-03-10,CUST01038,Sports,Cricket Bat,North,Chandigarh,Mobile App,2,3936.93,0.1,7873.87,7086.48,4141.75,Cash on Delivery,Delivered,2944.73,0.4155,2024-03,2024,Q1,1,0,0
ORD000036,2024-12-22,CUST00660,Electronics,Power Bank,North,Chandigarh,Mobile App,3,14935.75,0.05,44807.25,42566.89,28505.51,UPI,Delivered,14061.38,0.3303,2024-12,2024,Q4,1,0,0
ORD000037,2025-04-02,CUST01253,Fashion,Denim Jacket,West,Mumbai,Website,2,2279.62,0.2,4559.23,3647.38,2005.98,Net Banking,Pending,1641.4,0.45,2025-04,2025,Q2,0,0,0
ORD000038,2024-07-31,CUST00778,Home & Kitchen,Coffee Maker,West,Mumbai,Mobile App,2,1873.85,0.2,3747.7,2998.16,1904.0,Net Banking,Delivered,1094.16,0.3649,2024-07,2024,Q3,1,0,0
ORD000039,2024-03-11,CUST00078,Electronics,Wireless Headphones,East,Bhubaneswar,Website,1,7542.32,0.05,7542.32,7165.2,5858.94,Debit Card,Delivered,1306.26,0.1823,2024-03,2024,Q1,1,0,0
ORD000040,2025-05-10,CUST00608,Beauty,Face Serum,East,Bhubaneswar,Mobile App,1,2109.42,0.05,2109.42,2003.95,1574.98,Cash on Delivery,Delivered,428.97,0.2141,2025-05,2025,Q2,1,0,0
ORD000041,2025-05-16,CUST00055,Electronics,Power Bank,South,Bengaluru,Mobile App,3,14983.79,0.05,44951.36,42703.79,32048.26,UPI,Delivered,10655.53,0.2495,2025-05,2025,Q2,1,0,0
ORD000042,2024-07-24,CUST01103,Electronics,Smartwatch,Central,Nagpur,Mobile App,3,1733.48,0.15,5200.43,4420.36,3094.7,Credit Card,Delivered,1325.66,0.2999,2024-07,2024,Q3,1,0,0
ORD000043,2024-06-05,CUST01285,Electronics,Wireless Headphones,West,Pune,Marketplace,5,6026.55,0.05,30132.73,28626.1,15427.82,Credit Card,Pending,13198.28,0.4611,2024-06,2024,Q2,0,0,0
ORD000044,2024-01-12,CUST01492,Fashion,Backpack,North,Delhi,Website,3,1057.48,0.15,3172.43,2696.57,1662.41,UPI,Delivered,1034.16,0.3835,2024-01,2024,Q1,1,0,0
ORD000045,2024-02-20,CUST00794,Fashion,T-Shirt,West,Pune,Mobile App,4,1311.8,0.15,5247.2,4460.12,2632.55,Credit Card,Delivered,1827.57,0.4098,2024-02,2024,Q1,1,0,0
ORD000046,2024-06-28,CUST01059,Sports,Dumbbells,North,Delhi,Website,2,1335.79,0.2,2671.58,2137.26,1611.65,Credit Card,Delivered,525.61,0.2459,2024-06,2024,Q2,1,0,0
ORD000047,2024-01-19,CUST00828,Beauty,Moisturizer,Central,Indore,Website,3,573.97,0.05,1721.92,1635.83,1208.69,Credit Card,Delivered,427.14,0.2611,2024-01,2024,Q1,1,0,0
ORD000048,2025-01-01,CUST01402,Home & Kitchen,Storage Box,North,Chandigarh,Marketplace,5,8354.68,0.15,41773.38,35507.37,28518.16,Credit Card,Delivered,6989.21,0.1968,2025-01,2025,Q1,1,0,0
ORD000049,2025-06-23,CUST00775,Electronics,Smartwatch,North,Jaipur,Website,5,21102.32,0.0,105511.59,105511.59,71632.95,UPI,Returned,33878.64,0.3211,2025-06,2025,Q2,0,1,0
ORD000050,2025-05-14,CUST01118,Fashion,T-Shirt,West,Pune,Website,5,4425.08,0.1,22125.38,19912.84,12584.69,Net Banking,Delivered,7328.15,0.368,2025-05,2025,Q2,1,0,0
ORD000051,2025-06-03,CUST00490,Beauty,Sunscreen,Central,Bhopal,Mobile App,2,1011.99,0.05,2023.99,1922.79,1063.64,UPI,Delivered,859.15,0.4468,2025-06,2025,Q2,1,0,0
ORD000052,2024-06-09,CUST00345,Home & Kitchen,Coffee Maker,Central,Indore,Website,4,9883.68,0.1,39534.74,35581.26,25236.16,Debit Card,Delivered,10345.1,0.2907,2024-06,2024,Q2,1,0,0
ORD000053,2024-02-04,CUST00939,Fashion,Sunglasses,Central,Nagpur,Marketplace,2,3812.65,0.2,7625.31,6100.25,5081.53,Credit Card,Delivered,1018.72,0.167,2024-02,2024,Q1,1,0,0
ORD000054,2025-01-02,CUST01562,Beauty,Moisturizer,North,Chandigarh,Mobile App,1,666.25,0.1,666.25,599.62,333.2,Cash on Delivery,Delivered,266.42,0.4443,2025-01,2025,Q1,1,0,0
ORD000055,2024-08-22,CUST00147,Fashion,Denim Jacket,West,Ahmedabad,Marketplace,5,3115.62,0.0,15578.11,15578.11,9831.3,Cash on Delivery,Delivered,5746.81,0.3689,2024-08,2024,Q3,1,0,0
ORD000056,2025-06-19,CUST01350,Sports,Yoga Mat,South,Bengaluru,Mobile App,1,6058.55,0.1,6058.55,5452.7,3224.57,Cash on Delivery,Delivered,2228.13,0.4086,2025-06,2025,Q2,1,0,0
ORD000057,2024-09-23,CUST01199,Sports,Cricket Bat,South,Chennai,Marketplace,5,3648.28,0.25,18241.4,13681.05,10067.7,Debit Card,Delivered,3613.35,0.2641,2024-09,2024,Q3,1,0,0
ORD000058,2024-10-11,CUST00940,Fashion,Denim Jacket,West,Ahmedabad,Mobile App,4,1500.14,0.1,6000.56,5400.5,2910.32,Credit Card,Delivered,2490.18,0.4611,2024-10,2024,Q4,1,0,0
ORD000059,2024-03-06,CUST00989,Fashion,T-Shirt,North,Delhi,Website,1,3362.62,0.0,3362.62,3362.62,2676.63,Debit Card,Delivered,685.99,0.204,2024-03,2024,Q1,1,0,0
ORD000060,2024-02-18,CUST00336,Home & Kitchen,Water Bottle,Central,Indore,Website,5,1880.7,0.15,9403.49,7992.97,5134.57,UPI,Cancelled,2858.4,0.3576,2024-02,2024,Q1,0,0,1
ORD000061,2025-04-08,CUST00651,Fashion,Running Shoes,East,Patna,Mobile App,1,2947.34,0.2,2947.34,2357.87,1406.12,Net Banking,Delivered,951.75,0.4036,2025-04,2025,Q2,1,0,0
ORD000062,2024-07-11,CUST01094,Sports,Resistance Bands,West,Mumbai,Website,5,4457.58,0.1,22287.9,20059.11,15542.29,Net Banking,Delivered,4516.82,0.2252,2024-07,2024,Q3,1,0,0
ORD000063,2024-06-25,CUST00717,Beauty,Sunscreen,West,Ahmedabad,Website,4,2198.2,0.05,8792.8,8353.16,6389.94,Cash on Delivery,Pending,1963.22,0.235,2024-06,2024,Q2,0,0,0
ORD000064,2024-02-13,CUST00974,Electronics,Wireless Headphones,Central,Indore,Website,1,20390.37,0.15,20390.37,17331.81,12933.1,Net Banking,Delivered,4398.71,0.2538,2024-02,2024,Q1,1,0,0
ORD000065,2025-02-20,CUST00101,Beauty,Sunscreen,South,Chennai,Website,3,1815.92,0.2,5447.75,4358.2,2812.29,Credit Card,Returned,1545.91,0.3547,2025-02,2025,Q1,0,1,0
ORD000066,2025-03-27,CUST00728,Beauty,Moisturizer,East,Patna,Marketplace,3,837.89,0.2,2513.68,2010.95,1636.11,Net Banking,Pending,374.84,0.1864,2025-03,2025,Q1,0,0,0
ORD000067,2024-02-14,CUST00483,Fashion,T-Shirt,East,Patna,Website,1,429.85,0.05,429.85,408.36,333.7,Net Banking,Pending,74.66,0.1828,2024-02,2024,Q1,0,0,0
ORD000068,2024-04-06,CUST00915,Sports,Football,West,Ahmedabad,Website,4,560.07,0.05,2240.26,2128.25,1361.93,Credit Card,Delivered,766.32,0.3601,2024-04,2024,Q2,1,0,0
ORD000069,2024-12-20,CUST00943,Electronics,Power Bank,West,Pune,Marketplace,3,17769.22,0.2,53307.66,42646.13,28178.43,Debit Card,Delivered,14467.7,0.3393,2024-12,2024,Q4,1,0,0
ORD000070,2024-12-18,CUST00684,Electronics,Bluetooth Speaker,West,Pune,Mobile App,2,18672.77,0.15,37345.53,31743.7,21959.6,Cash on Delivery,Delivered,9784.1,0.3082,2024-12,2024,Q4,1,0,0
ORD000071,2025-04-04,CUST00749,Home & Kitchen,Water Bottle,Central,Bhopal,Website,4,2880.05,0.05,11520.21,10944.2,7714.8,Credit Card,Delivered,3229.4,0.2951,2025-04,2025,Q2,1,0,0
ORD000072,2025-04-26,CUST01472,Electronics,Laptop Stand,North,Chandigarh,Website,3,11712.88,0.15,35138.64,29867.84,21873.54,UPI,Delivered,7994.3,0.2677,2025-04,2025,Q2,1,0,0
ORD000073,2024-07-14,CUST01593,Beauty,Moisturizer,Central,Indore,Mobile App,1,2454.43,0.25,2454.43,1840.82,1380.95,Cash on Delivery,Delivered,459.87,0.2498,2024-07,2024,Q3,1,0,0
ORD000074,2025-01-10,CUST00003,Fashion,Running Shoes,West,Pune,Website,2,2467.16,0.05,4934.33,4687.61,3449.36,UPI,Pending,1238.25,0.2642,2025-01,2025,Q1,0,0,0
ORD000075,2024-03-20,CUST00142,Beauty,Shampoo,West,Pune,Marketplace,3,1657.6,0.15,4972.81,4226.89,2358.35,Cash on Delivery,Delivered,1868.54,0.4421,2024-03,2024,Q1,1,0,0
ORD000076,2025-06-10,CUST00370,Fashion,Denim Jacket,Central,Bhopal,Mobile App,4,741.39,0.15,2965.55,2520.72,1988.64,UPI,Cancelled,532.08,0.2111,2025-06,2025,Q2,0,0,1
ORD000077,2025-01-11,CUST01012,Sports,Yoga Mat,East,Patna,Mobile App,3,3842.29,0.05,11526.87,10950.52,8983.34,Net Banking,Delivered,1967.18,0.1796,2025-01,2025,Q1,1,0,0
ORD000078,2024-11-13,CUST00779,Sports,Dumbbells,East,Patna,Marketplace,1,4161.68,0.15,4161.68,3537.43,2474.74,Credit Card,Delivered,1062.69,0.3004,2024-11,2024,Q4,1,0,0
ORD000079,2025-05-22,CUST00886,Fashion,Sunglasses,West,Ahmedabad,Mobile App,5,4426.17,0.15,22130.85,18811.22,15680.27,Credit Card,Delivered,3130.95,0.1664,2025-05,2025,Q2,1,0,0
ORD000080,2024-11-03,CUST00352,Electronics,Power Bank,East,Bhubaneswar,Website,4,16650.98,0.05,66603.91,63273.72,48996.47,Net Banking,Delivered,14277.25,0.2256,2024-11,2024,Q4,1,0,0
ORD000081,2025-04-11,CUST00623,Beauty,Face Serum,West,Ahmedabad,Marketplace,2,1416.66,0.15,2833.32,2408.32,1904.56,UPI,Cancelled,503.76,0.2092,2025-04,2025,Q2,0,0,1
ORD000082,2024-06-13,CUST00448,Home & Kitchen,Storage Box,Central,Nagpur,Marketplace,2,1853.58,0.15,3707.15,3151.08,2449.14,UPI,Delivered,701.94,0.2228,2024-06,2024,Q2,1,0,0
ORD000083,2024-12-02,CUST01212,Electronics,Wireless Headphones,North,Chandigarh,Website,2,13475.46,0.05,26950.92,25603.37,18713.82,UPI,Cancelled,6889.55,0.2691,2024-12,2024,Q4,0,0,1
ORD000084,2025-03-06,CUST00328,Sports,Dumbbells,South,Chennai,Mobile App,2,897.06,0.2,1794.12,1435.3,749.71,UPI,Delivered,685.59,0.4777,2025-03,2025,Q1,1,0,0
ORD000085,2025-02-16,CUST00308,Fashion,Backpack,North,Jaipur,Website,1,4933.14,0.1,4933.14,4439.82,2863.38,Cash on Delivery,Returned,1576.44,0.3551,2025-02,2025,Q1,0,1,0
ORD000086,2025-04-15,CUST00483,Fashion,T-Shirt,South,Hyderabad,Website,5,3287.78,0.2,16438.92,13151.14,9907.55,Credit Card,Delivered,3243.59,0.2466,2025-04,2025,Q2,1,0,0
ORD000087,2024-05-23,CUST00924,Fashion,Sunglasses,North,Jaipur,Mobile App,2,961.5,0.15,1922.99,1634.54,927.68,Cash on Delivery,Delivered,706.86,0.4325,2024-05,2024,Q2,1,0,0
ORD000088,2025-02-21,CUST00148,Beauty,Lip Balm,East,Bhubaneswar,Mobile App,1,1641.67,0.0,1641.67,1641.67,1256.05,Debit Card,Delivered,385.62,0.2349,2025-02,2025,Q1,1,0,0
ORD000089,2024-04-21,CUST01249,Home & Kitchen,Air Fryer,Central,Nagpur,Mobile App,5,2673.15,0.1,13365.73,12029.16,7661.78,Credit Card,Delivered,4367.38,0.3631,2024-04,2024,Q2,1,0,0
ORD000090,2024-09-01,CUST01373,Home & Kitchen,Coffee Maker,South,Chennai,Mobile App,5,8062.13,0.25,40310.66,30233.0,22368.63,Cash on Delivery,Delivered,7864.37,0.2601,2024-09,2024,Q3,1,0,0
ORD000091,2024-10-14,CUST00591,Fashion,T-Shirt,South,Hyderabad,Marketplace,1,5202.94,0.0,5202.94,5202.94,4220.95,UPI,Delivered,981.99,0.1887,2024-10,2024,Q4,1,0,0
ORD000092,2024-11-06,CUST00623,Electronics,Power Bank,West,Mumbai,Mobile App,4,5380.8,0.0,21523.18,21523.18,17105.98,Debit Card,Delivered,4417.2,0.2052,2024-11,2024,Q4,1,0,0
ORD000093,2025-06-12,CUST01449,Home & Kitchen,Mixer Grinder,Central,Indore,Mobile App,1,6973.43,0.0,6973.43,6973.43,4393.91,Debit Card,Delivered,2579.52,0.3699,2025-06,2025,Q2,1,0,0
ORD000094,2025-02-10,CUST01457,Home & Kitchen,Mixer Grinder,South,Hyderabad,Website,3,7320.11,0.1,21960.33,19764.3,14913.4,Credit Card,Delivered,4850.9,0.2454,2025-02,2025,Q1,1,0,0
ORD000095,2024-04-17,CUST00026,Fashion,Denim Jacket,West,Ahmedabad,Website,5,1409.2,0.05,7045.99,6693.69,3822.31,UPI,Pending,2871.38,0.429,2024-04,2024,Q2,0,0,0
ORD000096,2024-11-25,CUST00874,Home & Kitchen,Storage Box,South,Bengaluru,Website,4,1344.2,0.15,5376.82,4570.29,3794.57,Debit Card,Delivered,775.72,0.1697,2024-11,2024,Q4,1,0,0
ORD000097,2025-02-19,CUST00078,Beauty,Lip Balm,North,Jaipur,Website,4,2225.36,0.1,8901.46,8011.31,4571.36,Net Banking,Cancelled,3439.95,0.4294,2025-02,2025,Q1,0,0,1
ORD000098,2024-10-04,CUST00031,Home & Kitchen,Mixer Grinder,West,Ahmedabad,Mobile App,1,3834.75,0.25,3834.75,2876.06,1785.04,Debit Card,Delivered,1091.02,0.3793,2024-10,2024,Q4,1,0,0
ORD000099,2025-04-17,CUST00194,Sports,Yoga Mat,East,Bhubaneswar,Mobile App,1,5692.4,0.0,5692.4,5692.4,4672.75,Credit Card,Pending,1019.65,0.1791,2025-04,2025,Q2,0,0,0
ORD000100,2024-07-12,CUST01180,Home & Kitchen,Coffee Maker,West,Ahmedabad,Mobile App,5,6299.41,0.15,31497.07,26772.51,15907.69,UPI,Delivered,10864.82,0.4058,2024-07,2024,Q3,1,0,0
ORD000101,2024-03-17,CUST00923,Beauty,Shampoo,West,Mumbai,Website,3,631.74,0.25,1895.22,1421.41,809.85,Cash on Delivery,Returned,611.56,0.4302,2024-03,2024,Q1,0,1,0
ORD000102,2025-02-23,CUST01408,Fashion,T-Shirt,South,Bengaluru,Marketplace,2,3076.48,0.1,6152.96,5537.66,2900.13,Credit Card,Delivered,2637.53,0.4763,2025-02,2025,Q1,1,0,0
ORD000103,2024-09-17,CUST00874,Home & Kitchen,Air Fryer,South,Hyderabad,Mobile App,3,2474.15,0.1,7422.44,6680.2,3534.76,Credit Card,Pending,3145.44,0.4709,2024-09,2024,Q3,0,0,0
ORD000104,2024-05-09,CUST01064,Electronics,Power Bank,North,Jaipur,Website,5,18002.7,0.0,90013.5,90013.5,51068.03,Net Banking,Delivered,38945.47,0.4327,2024-05,2024,Q2,1,0,0
ORD000105,2025-02-07,CUST01216,Sports,Yoga Mat,East,Bhubaneswar,Marketplace,1,3502.38,0.1,3502.38,3152.14,1717.4,Net Banking,Cancelled,1434.74,0.4552,2025-02,2025,Q1,0,0,1
ORD000106,2024-06-06,CUST00939,Electronics,Power Bank,Central,Indore,Mobile App,2,8546.55,0.1,17093.1,15383.79,11392.7,Credit Card,Delivered,3991.09,0.2594,2024-06,2024,Q2,1,0,0
ORD000107,2025-01-07,CUST01294,Beauty,Moisturizer,West,Ahmedabad,Mobile App,1,2541.78,0.05,2541.78,2414.69,1310.54,Cash on Delivery,Delivered,1104.15,0.4573,2025-01,2025,Q1,1,0,0
ORD000108,2025-03-25,CUST01307,Electronics,Laptop Stand,North,Chandigarh,Website,5,3417.26,0.05,17086.32,16232.01,8487.88,Credit Card,Delivered,7744.13,0.4771,2025-03,2025,Q1,1,0,0
ORD000109,2024-03-31,CUST00090,Sports,Cricket Bat,East,Bhubaneswar,Mobile App,1,4409.42,0.05,4409.42,4188.95,2576.07,UPI,Delivered,1612.88,0.385,2024-03,2024,Q1,1,0,0
ORD000110,2024-04-22,CUST00468,Sports,Dumbbells,South,Chennai,Website,4,2544.16,0.15,10176.63,8650.14,4728.85,UPI,Returned,3921.29,0.4533,2024-04,2024,Q2,0,1,0
ORD000111,2024-06-23,CUST01403,Fashion,Running Shoes,South,Hyderabad,Website,5,3633.71,0.05,18168.56,17260.13,9727.74,Cash on Delivery,Delivered,7532.39,0.4364,2024-06,2024,Q2,1,0,0
ORD000112,2025-06-27,CUST01104,Beauty,Sunscreen,East,Patna,Mobile App,3,1160.75,0.0,3482.25,3482.25,2288.53,Cash on Delivery,Delivered,1193.72,0.3428,2025-06,2025,Q2,1,0,0
ORD000113,2024-10-20,CUST00329,Fashion,Running Shoes,Central,Bhopal,Mobile App,5,763.32,0.1,3816.59,3434.93,2802.2,Credit Card,Delivered,632.73,0.1842,2024-10,2024,Q4,1,0,0
ORD000114,2024-12-17,CUST01269,Beauty,Face Serum,East,Patna,Website,4,282.35,0.1,1129.41,1016.47,752.51,Net Banking,Delivered,263.96,0.2597,2024-12,2024,Q4,1,0,0
ORD000115,2025-06-17,CUST00221,Electronics,Bluetooth Speaker,Central,Nagpur,Mobile App,5,15741.21,0.1,78706.06,70835.45,45844.9,Cash on Delivery,Delivered,24990.55,0.3528,2025-06,2025,Q2,1,0,0
ORD000116,2024-07-16,CUST01570,Home & Kitchen,Mixer Grinder,West,Ahmedabad,Mobile App,5,1249.33,0.05,6246.64,5934.31,4203.8,Cash on Delivery,Delivered,1730.51,0.2916,2024-07,2024,Q3,1,0,0
ORD000117,2024-02-21,CUST00027,Home & Kitchen,Mixer Grinder,North,Delhi,Mobile App,2,9415.25,0.05,18830.49,17888.97,14668.15,UPI,Delivered,3220.82,0.18,2024-02,2024,Q1,1,0,0
ORD000118,2025-02-01,CUST00624,Fashion,T-Shirt,West,Pune,Website,4,1398.78,0.15,5595.11,4755.85,3286.42,Cash on Delivery,Delivered,1469.43,0.309,2025-02,2025,Q1,1,0,0
ORD000119,2024-03-19,CUST00838,Electronics,Bluetooth Speaker,South,Hyderabad,Website,1,8953.84,0.25,8953.84,6715.38,5110.08,Cash on Delivery,Delivered,1605.3,0.239,2024-03,2024,Q1,1,0,0
ORD000120,2024-04-06,CUST00131,Home & Kitchen,Coffee Maker,West,Pune,Website,4,8044.07,0.05,32176.29,30567.48,18823.81,UPI,Delivered,11743.67,0.3842,2024-04,2024,Q2,1,0,0
ORD000121,2025-06-04,CUST01064,Home & Kitchen,Coffee Maker,Central,Indore,Mobile App,5,6990.88,0.0,34954.39,34954.39,26504.48,Credit Card,Delivered,8449.91,0.2417,2025-06,2025,Q2,1,0,0
ORD000122,2025-05-17,CUST00112,Sports,Cricket Bat,East,Patna,Website,2,2263.16,0.0,4526.32,4526.32,2770.63,UPI,Cancelled,1755.69,0.3879,2025-05,2025,Q2,0,0,1
ORD000123,2024-11-29,CUST00517,Home & Kitchen,Storage Box,West,Ahmedabad,Website,2,5821.05,0.15,11642.09,9895.78,5569.97,Debit Card,Delivered,4325.81,0.4371,2024-11,2024,Q4,1,0,0
ORD000124,2024-05-18,CUST01240,Fashion,Backpack,North,Chandigarh,Mobile App,4,1511.66,0.1,6046.65,5441.98,3161.67,Credit Card,Delivered,2280.31,0.419,2024-05,2024,Q2,1,0,0
ORD000125,2024-03-25,CUST00778,Beauty,Face Serum,Central,Nagpur,Mobile App,2,2709.21,0.1,5418.42,4876.58,2706.73,Net Banking,Delivered,2169.85,0.445,2024-03,2024,Q1,1,0,0
ORD000126,2024-09-20,CUST01034,Fashion,T-Shirt,Central,Bhopal,Mobile App,2,4564.56,0.1,9129.13,8216.22,5212.48,UPI,Delivered,3003.74,0.3656,2024-09,2024,Q3,1,0,0
